央视通用线路,#genre#
青海卫视[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
海南卫视[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225639/index.m3u8
北京卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226251/index.m3u8
辽宁卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226254/index.m3u8
河南卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226320/index.m3u8
青海卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8
上海东方卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226336/index.m3u8
浙江卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226342/index.m3u8
广东卫视[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226374/index.m3u8
东南卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226377/index.m3u8
广西卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
贵州卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226383/index.m3u8
吉林卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226386/index.m3u8
内蒙古卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8
安多卫视[1024*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
康巴卫视[1024*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8
山西卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8
天津卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226395/index.m3u8
黑龙江卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226421/index.m3u8
湖南卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226430/index.m3u8
西藏卫视[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8
兵团卫视[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
海南卫视[768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226445/index.m3u8
河北卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226448/index.m3u8
宁夏卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8
陕西卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
新疆卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8
重庆卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226463/index.m3u8
江苏卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226495/index.m3u8
湖北卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226501/index.m3u8
江西卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226504/index.m3u8
山东卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226507/index.m3u8
深圳卫视-SD[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226510/index.m3u8
四川卫视[785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226513/index.m3u8
动作电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
古装剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
惊悚悬疑,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
金牌综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8
爱情喜剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8
精品大剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
精品纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
健康有约,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225673/index.m3u8
精品体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
军旅剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
精彩搏击,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225680/index.m3u8
中国功夫,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
农业致富,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225683/index.m3u8
潮妈辣婆,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
超级综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
超级体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
超级电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
超级电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
东北热剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
欢乐剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
延边频道[1280*720],http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
青海频道[1280*720],http://stream.qhbtv.com/qhws/sd/live.m3u8
精彩频道,#genre#
重温经典,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000635
凤凰卫视[854*480],https://tv.cry33.com/fh.php?id=fhzw
湖北,#genre#
黄冈新闻,http://huanggang-live21.cjyun.org/10210/s10210-xwzh.m3u8?auth_key=1735660799-0-0-d97fed8905fc6066ed8fa063e40b13c0
黄冈公共,http://huanggang-live21.cjyun.org/10210/s10210-xwgg.m3u8?auth_key=1735660799-0-0-39c6d712b6337fbdefe84e2d22e34513
红安综合[1280*720],https://hongan-live21.cjyun.org/10063/s10063-HAZH.m3u8?auth_key=1735660799-0-0-72da7166f8c3751c49c5feb5b24b54b8
黄石新闻综合[1280*720],https://huangshifb-live21.cjyun.org/10200/s10200-huangshitv01.m3u8?auth_key=1735660799-0-0-a2a4204859d1b4447db4050a4bc202b1
咸宁综合[1280*720],http://xianning-live21.cjyun.org/10140/s10140-XNTV-1.m3u8?auth_key=1735660799-0-0-b380d98b910466afbd9053c25a7dc408
咸宁经济生活[1280*720],http://xianning-live21.cjyun.org/10140/s10140-XNGG.m3u8?auth_key=1735660799-0-0-d81f4b2fc33920d8341033fef8dcfd16
赤壁一套[848*480],http://chibi-live21.cjyun.org/10138/s10138-CBTV1.m3u8?auth_key=1735660799-0-0-1751de0a4678e4571fe2af86220e2a2b
嘉鱼新闻综合[720*576],http://jiayu-live21.cjyun.org/10131/s10131-jyzh.m3u8?auth_key=1735660799-0-0-05395acf38fa1497c0985dcb4c329c0b
通山综合[1024*576],http://tongshan-live21.cjyun.org/10134/s10134-TONGSHAN-live.m3u8?auth_key=1735660799-0-0-aa195babe014c73b2e4f423d1ae4622f
孝感新闻综合,http://xiaogan-live21.cjyun.org/10139/s10139-xg.m3u8?auth_key=1735660799-0-0-c66126a1e65c45cfa675dd5f16914315
孝感生活,http://xiaogan-live21.cjyun.org/10139/s10139-xg.m3u8?auth_key=1735660799-0-0-c66126a1e65c45cfa675dd5f16914315
孝昌新闻党建,http://xiaochang-live21.cjyun.org/10128/s10128-xcxw.m3u8?auth_key=1735660799-0-0-886396e7a9ce6f90ecdbfdf669624539
大悟综合,http://yunshangdawu-live21.cjyun.org/10129/s10129-dwzhpd.m3u8?auth_key=1735660799-0-0-b1bf1625df01ea7dabc97bf7aa7f253d
荆州新闻[1280*720],http://jingzhou-live21.cjyun.org/10085/s10085-jingzhou-tv01.m3u8?auth_key=1735660799-0-0-e0477d4b5bc584e7518a1bde13892cbe
荆州垄上[1280*720],http://jingzhou-live21.cjyun.org/10085/s10085-jingzhou-tv03.m3u8?auth_key=1735660799-0-0-73625822ff2c77aefa1589e94281edad
荆州公共[1280*720],http://jingzhou-live21.cjyun.org/10085/s10085-jingzhou-tv02.m3u8?auth_key=1735660799-0-0-1963c999651ea135890d90bcc5ae172d
松滋综合[1280*720],http://songzi-live21.cjyun.org/10194/s10194-songzi-tv1.m3u8?auth_key=1735660799-0-0-a380e59865129a39561528ada31d0e63
钟祥综合,http://zhongxiang-live21.cjyun.org/10103/s10103-zxtv.m3u8?auth_key=1735660799-0-0-bffe4fb8f0bb7142075cb559396d23cc
谷城综合,http://gucheng-live21.cjyun.org/10116/s10116-GCTV1.m3u8?auth_key=1735660799-0-0-54db49cb2f7940e29d9dfceb9747b0af
宜昌综合[800*450],http://yichang-live21.cjyun.org/10091/10091-yczh.m3u8?auth_key=1735660799-0-0-152a9f6a201d7d56428feae52d4b18b8
宜都综合[1280*720],http://yidushi-live21.cjyun.org/10092/s10092-yidushitv01.m3u8?auth_key=1735660799-0-0-f29f0d99f876e49e55132b30d52133db
长阳综合[1024*576],http://changyang-live21.cjyun.org/10114/s10114-cy1t.m3u8?auth_key=1735660799-0-0-f8867ea6ca06a65bdf95048518db1f6a
远安电视台[1280*720],http://yuanan-live21.cjyun.org/10106/s10106-yatv.m3u8?auth_key=1735660799-0-0-fdcac90185009731b8e6f51f180ed7b4
当阳电视台[1280*720],http://dangyang-live21.cjyun.org/10118/s10118-DYZH.m3u8?auth_key=1735660799-0-0-f8e56d713bf81af226bae8057d9a1bad
秭归综合,http://zigui-live21.cjyun.org/10111/s10111-ZGTV1.m3u8?auth_key=1735660799-0-0-e80e38a154f9ea053e26d2ff5038530a
枝江综合,http://zhijiang-live21.cjyun.org/10120/s10120-zjtv.m3u8?auth_key=1735660799-0-0-fd9715217b53a31e92b5d42d24438b4a
来凤综合,http://laifeng-live21.cjyun.org/10099/s10099-lftv01.m3u8?auth_key=1735660799-0-0-b92e243bcdd451ba46874699b392247e
鄂州新闻综合,http://ezhou-live21.cjyun.org/10098/s10098-EZ1T.m3u8?auth_key=1735660799-0-0-d737b8c7fad391cc6187d35123baff28
广水新闻[768*576],http://guangshui-live21.cjyun.org/10146/s10146-GSXW.m3u8?auth_key=1735660799-0-0-c7c7082aa48ecb78ed13d8a4a9b45acc
随州综合,http://34766.hlsplay.aodianyun.com/guangdianyun_34766/tv_channel_304.m3u8?auth_key=4836074354-0-0-d3ae3e237ae5fdaa7e72d8b930ff507b&extra_key=q_KhUzRNviTQMw35AK7VUOsxUuO3fkLbRbWjHBywJErK0zgP7mqTsFvo50t7UieqiF-pvnPCIMJa5QdRQ1gLPBYWz9HOG7TAdI5vRG232V88z98QUcOS1P6iUQbACyEaoEVKLRe_Am23Ezeahvwg0pDBetjQHrLPx7P8mro2vqw15rvUQKLSF-HBByajerez
随州农村,http://34766.hlsplay.aodianyun.com/guangdianyun_34766/tv_channel_305.m3u8?auth_key=4834621829-0-0-49c63c7de26b595a9177e498db618f79&extra_key=xQtKveJFBYYdE5xPP5Qc5y3qlfhlj-BcHOcbWxez9NxCHHoFi0Lp44BN8aqi2_k9URCU-rsf8mQz8CYifgEaMzixzi63CT1KgCDexQ0cD5X0e0lUMZaQy0DMOXcFpW1Cf9zn7psgSNcUQiA2OGcxi7TXk-_FyDGcu767szWh8SQJ0Vr0uNRbiqE2jzk7ICiX
恩施新闻综合.http://46240.hlsplay.aodianyun.com/tv_radio_46240/tv_channel_1812.m3u8
恩施文旅[1280*720],http://46240.hlsplay.aodianyun.com/tv_radio_46240/tv_channel_1811.m3u8
山东,#genre#
山东卫视[960*540],http://livealone.iqilu.com/iqilu/sdtvhjOF03kn.m3u8
山东少儿[960*540],http://livealone.iqilu.com/iqilu/sepdhjOF03kn.m3u8
长清新闻,https://tv.cry33.com/qilu.php?id=jncqxw
长清生活,https://tv.cry33.com/qilu.php?id=jncqsh
济铁电视台,https://tv.cry33.com/qilu.php?id=jnjrtv
济阳综合,https://tv.cry33.com/qilu.php?id=jnjyzh
济阳影视,https://tv.cry33.com/qilu.php?id=jnjyys
平阴综合,https://tv.cry33.com/qilu.php?id=jnpyzh
平阴乡村振兴,https://tv.cry33.com/qilu.php?id=jnpyxc
商河综合[1280*720],https://tv.cry33.com/qilu.php?id=jnshzh
商河影视[1280*720],https://tv.cry33.com/qilu.php?id=jnshys
章丘综合[1280*720],https://tv.cry33.com/qilu.php?id=jnzqzh
章丘公共[1280*720],https://tv.cry33.com/qilu.php?id=jnzqgg
东营新闻综合[853*480],https://tv.cry33.com/qilu.php?id=dyxwzh
东营公共[853*480],https://tv.cry33.com/qilu.php?id=dygg
东营公共[853*480],https://tv.cry33.com/qilu.php?id=dygg2
东营科教[853*480],https://tv.cry33.com/qilu.php?id=dykj
东营区科教影视[853*480],https://tv.cry33.com/qilu.php?id=dydyqkj
广饶综合,https://tv.cry33.com/qilu.php?id=dygrzh
垦利新闻综合[480*270],https://tv.cry33.com/qilu.php?id=dyklxw
利津综合,https://tv.cry33.com/qilu.php?id=dyljzh
利津文化生活,https://tv.cry33.com/qilu.php?id=dyljwh
黄岛综合,https://tv.cry33.com/qilu.php?id=qdhdzh
即墨综合,https://tv.cry33.com/qilu.php?id=qdjmzh
即墨生活服务,https://tv.cry33.com/qilu.php?id=qdjmsh
胶州综合,https://tv.cry33.com/qilu.php?id=qdjzzh
崂山TV,https://tv.cry33.com/qilu.php?id=qdls
莱西综合,https://tv.cry33.com/qilu.php?id=qdlxzh
莱西生活,https://tv.cry33.com/qilu.php?id=qdlxsh
平度新闻综合,https://tv.cry33.com/qilu.php?id=qdpdxw
潍坊生活,https://tv.cry33.com/qilu.php?id=wfsh
潍坊科教文旅,https://tv.cry33.com/qilu.php?id=wfkjwl
安丘综合,https://tv.cry33.com/qilu.php?id=wfaqzh
滨海新闻综合,https://tv.cry33.com/qilu.php?id=wfbhxw
昌乐综合,https://tv.cry33.com/qilu.php?id=wfclzh
昌邑综合[1280*720],https://tv.cry33.com/qilu.php?id=wfcyzh
昌邑经济生活[1280*720],https://tv.cry33.com/qilu.php?id=wfcyjj
高密综合,https://tv.cry33.com/qilu.php?id=wfgmzh
高密党建农科,https://tv.cry33.com/qilu.php?id=wfgmdj
潍坊高新区电视,https://tv.cry33.com/qilu.php?id=wfgxq
奎文电视台[1280*720],https://tv.cry33.com/qilu.php?id=wfkwtv
潍城TV,https://tv.cry33.com/qilu.php?id=wfwc
诸城新闻综合[864*486],https://tv.cry33.com/qilu.php?id=wfzcxw
诸城生活娱乐[864*486],https://tv.cry33.com/qilu.php?id=wfzcsh
长岛TV[480*360],https://tv.cry33.com/qilu.php?id=ytcd
福山综合[720*576],https://tv.cry33.com/qilu.php?id=ytfszh
莱阳综合,https://tv.cry33.com/qilu.php?id=ytlyzh
莱阳民生综艺,https://tv.cry33.com/qilu.php?id=ytlyms
莱州综合,https://tv.cry33.com/qilu.php?id=ytlzzh
蓬莱综合,https://tv.cry33.com/qilu.php?id=ytplzh
栖霞综合[1280*720],https://tv.cry33.com/qilu.php?id=ytqxzh
栖霞苹果[1280*720],https://tv.cry33.com/qilu.php?id=ytqxpg
博山图文[1280*720],https://tv.cry33.com/qilu.php?id=zbbstw
高青影视,https://tv.cry33.com/qilu.php?id=zbgqys
桓台综合[1067*600],https://tv.cry33.com/qilu.php?id=zbht1
桓台影视[1067*600],https://tv.cry33.com/qilu.php?id=zbht2
临淄生活服务[768*576],https://tv.cry33.com/qilu.php?id=zblzsh
沂源综合,https://tv.cry33.com/qilu.php?id=zbyyzh
沂源生活,https://tv.cry33.com/qilu.php?id=zbyysh
淄川生活[1280*720],https://tv.cry33.com/qilu.php?id=zbzcsh
张店综合[720*407],https://tv.cry33.com/qilu.php?id=zbzd1
张店2[720*407],https://tv.cry33.com/qilu.php?id=zbzd2
山亭综合,https://tv.cry33.com/qilu.php?id=zzstzh
台儿庄新闻综合,https://tv.cry33.com/qilu.php?id=zztezxw
薛城新闻综合,https://tv.cry33.com/qilu.php?id=zzxcxw
峄城综合,https://tv.cry33.com/qilu.php?id=zzyczh
滨城TV,https://tv.cry33.com/qilu.php?id=bzbctv
博兴生活[480*270],https://tv.cry33.com/qilu.php?id=bzbxsh
惠民影视[480*270],https://tv.cry33.com/qilu.php?id=bzhmys
无棣综艺,https://tv.cry33.com/qilu.php?id=bzwdzy
德州经济生活,https://tv.cry33.com/qilu.php?id=dzjjsh
德州图文,https://tv.cry33.com/qilu.php?id=dztw
乐陵城市生活,https://tv.cry33.com/qilu.php?id=dzllcs
宁津综合[480*360],https://tv.cry33.com/qilu.php?id=dznjzh
平原综合,https://tv.cry33.com/qilu.php?id=dzpyzh
庆云综合[480*360],https://tv.cry33.com/qilu.php?id=dzqyzh
庆云生活[480*360],https://tv.cry33.com/qilu.php?id=dzqysh
武城综合,https://tv.cry33.com/qilu.php?id=dzwczh
武城综艺影视,https://tv.cry33.com/qilu.php?id=dzwczy
夏津综合[1067*600],https://tv.cry33.com/qilu.php?id=dzxjzh
夏津公共[1067*600],https://tv.cry33.com/qilu.php?id=dzxjgg
禹城综合[960*600],https://tv.cry33.com/qilu.php?id=dzyczh
禹城综艺[922*576],https://tv.cry33.com/qilu.php?id=dzyczy
曹县综合,https://tv.cry33.com/qilu.php?id=hzcxzh
东明新闻综合[1280*720],https://tv.cry33.com/qilu.php?id=hzdmxw
定陶新闻[1280*720],https://tv.cry33.com/qilu.php?id=hzdt1
巨野新闻,https://tv.cry33.com/qilu.php?id=hzjyxw
牡丹区新闻综合,https://tv.cry33.com/qilu.php?id=hzmdxw
单县综合,https://tv.cry33.com/qilu.php?id=hzsxzh
梁山综合,https://tv.cry33.com/qilu.php?id=jilszh
曲阜新闻综合,https://tv.cry33.com/qilu.php?id=jiqfxw
任城新闻综合,https://tv.cry33.com/qilu.php?id=jircxw
任城影视娱乐,https://tv.cry33.com/qilu.php?id=jircys
泗水新闻综合[640*360],https://tv.cry33.com/qilu.php?id=jissxw
泗水文化生活[640*360],https://tv.cry33.com/qilu.php?id=jisswh
汶上生活,https://tv.cry33.com/qilu.php?id=jiwssh
鱼台新闻,https://tv.cry33.com/qilu.php?id=jiytxw
鱼台生活,https://tv.cry33.com/qilu.php?id=jiytsh
兖州生活[640*360],https://tv.cry33.com/qilu.php?id=jiyzsh
茌平综合[720*404],https://tv.cry33.com/qilu.php?id=lccpzh
茌平生活[720*404],https://tv.cry33.com/qilu.php?id=lccpsh
东昌综合[720*576],https://tv.cry33.com/qilu.php?id=lcdczh
高唐综合[1280*720],https://tv.cry33.com/qilu.php?id=lcgtzh
高唐综艺[1280*720],https://tv.cry33.com/qilu.php?id=lcgtzy
冠县综合,https://tv.cry33.com/qilu.php?id=lcgxzh
临清经济信息[768*576],https://tv.cry33.com/qilu.php?id=lclqjj
莘县综合,https://tv.cry33.com/qilu.php?id=lcsxzh
莘县生活,https://tv.cry33.com/qilu.php?id=lcsxsh
河东影视,https://tv.cry33.com/qilu.php?id=lyhdys
河东综合,https://tv.cry33.com/qilu.php?id=lyhdzh
莒南综合[768*480],https://tv.cry33.com/qilu.php?id=lyjnzh
莒南影视[768*480],https://tv.cry33.com/qilu.php?id=lyjnys
兰陵公共[720*576],https://tv.cry33.com/qilu.php?id=lyllgg
临沭综合,https://tv.cry33.com/qilu.php?id=lyls1
临沭生活,https://tv.cry33.com/qilu.php?id=lyls2
罗庄综合[1024*576],https://tv.cry33.com/qilu.php?id=lylzzh
罗庄影视[1024*576],https://tv.cry33.com/qilu.php?id=lylzys
蒙阴2套,https://tv.cry33.com/qilu.php?id=lymy2
平邑生活[848*480],https://tv.cry33.com/qilu.php?id=lypysh
郯城综合,https://tv.cry33.com/qilu.php?id=lytc1
沂水综合,https://tv.cry33.com/qilu.php?id=lyys1
沂水生活,https://tv.cry33.com/qilu.php?id=lyys2
莒县综合,https://tv.cry33.com/qilu.php?id=rzjx1
莒县2套,https://tv.cry33.com/qilu.php?id=rzjx2
岚山TV[1280*720],https://tv.cry33.com/qilu.php?id=rzls
五莲综合,https://tv.cry33.com/qilu.php?id=rzwlzh
东平综合,https://tv.cry33.com/qilu.php?id=tadpzh
东平民生[720*576],https://tv.cry33.com/qilu.php?id=tadpms
肥城综合,https://tv.cry33.com/qilu.php?id=tafczh
肥城生活,https://tv.cry33.com/qilu.php?id=tafcsh
宁阳综合[1280*720],https://tv.cry33.com/qilu.php?id=tany1
宁阳2套[1280*720],https://tv.cry33.com/qilu.php?id=tany2
泰山TV,https://tv.cry33.com/qilu.php?id=tats
新泰乡村,https://tv.cry33.com/qilu.php?id=taxtxc
威海新闻综合[800*450],https://tv.cry33.com/qilu.php?id=whxwzh
威海海洋[1280*720],https://tv.cry33.com/qilu.php?id=whhy
威海环翠综合,https://tv.cry33.com/qilu.php?id=whhczh
荣成综合[853*480],https://tv.cry33.com/qilu.php?id=whrczh
荣成生活[853*480],https://tv.cry33.com/qilu.php?id=whrcsh
乳山综合,https://tv.cry33.com/qilu.php?id=whrszh
乳山生活,https://tv.cry33.com/qilu.php?id=whrssh
文登TV1,https://tv.cry33.com/qilu.php?id=whwd1
江苏,#genre#
江苏卫视,http://123.118.51.157:8888/rtp/239.3.1.135:8028
江苏城市,https://epg.pw/stream/675206b8446ce719bfb293b5a5296db3aa26521c9810de7c996838247cc56964.m3u8
江苏综艺,https://epg.pw/stream/f8ef469943662bed2abc6609d9ef1720b9e93a8a0bd6f5789133461e36763f37.m3u8
南京娱乐[1280*720],http://live.nbs.cn/channels/njtv/ylpd/500k.m3u8
南京十八[1280*720],http://live.nbs.cn/channels/njtv/sbpd/500k.m3u8
南京少儿[1280*720],http://live.nbs.cn/channels/njtv/sepd/nbs23.m3u8
南京信息[1280*720],http://live.nbs.cn/channels/njtv/xxpd/500k.m3u8
苏州社会经济[1280*720],http://tylive.kan0512.com/norecord/norecord_csztv2.m3u8
苏州文化生活[1280*720],http://tylive.kan0512.com/norecord/norecord_csztv3.m3u8
苏州生活资讯[1280*720],http://tylive.kan0512.com/norecord/norecord_csztv5.m3u8
盐城3套[1280*720],https://live1yc.0515yc.cn/ycst03/sd/live.m3u8?_upt=063361c91707142304
无锡教育,https://epg.pw/stream/aec6eb3f203182d8a840813fc1768a06366aed043198fbabc086b6971ea0a8b6.m3u8
扬州3套[1280*720],http://cm-wshls.homecdn.com/live/8bf.m3u8
镇江1套,http://zjtv-wshls.homecdn.com/live/2aa50.m3u8
泰州-1[640*360],http://stream1.mytaizhou.net/xwzhnew/playlist.m3u8
泰州-2,http://stream1.mytaizhou.net/jjshnew/playlist.m3u8
连云港公共[854*480],http://live.lyg1.com/ggpd/sd/live.m3u8
江宁综合,https://jiangning-tv-hls.cm.jstv.com/jiangning-tv/jnxwzh.m3u8
