CCTV频道,#genre#
精品大剧,http://[2409:8087:2001:20:2800:0:df6e:eb1a]/ott.mobaibox.com/PLTV/4/224/3221227618/index.m3u8
大爱1台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱2台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
龙华电影台,http://141.95.85.201:6666/livehttpplay?channel_id=10129
龙祥电影台,http://141.95.85.201:6666/livehttpplay?channel_id=20114
东森电影台,http://141.95.85.201:6666/livehttpplay?channel_id=20077
东森洋片,http://141.95.85.201:6666/livehttpplay?channel_id=20080
美亚电影台,http://141.95.85.201:6666/livehttpplay?channel_id=20197
好莱坞电影,http://141.95.85.201:6666/livehttpplay?channel_id=20062
纬来电影台,http://141.95.85.201:6666/livehttpplay?channel_id=20199
龙华洋片,http://141.95.85.201:6666/livehttpplay?channel_id=20090
数位电影台,http://141.95.85.201:6666/livehttpplay?channel_id=10123
天映频道,http://141.95.85.201:6666/livehttpplay?channel_id=10130
靖天电影台,http://141.95.85.201:6666/livehttpplay?channel_id=12037
靖天映画,http://141.95.85.201:6666/livehttpplay?channel_id=16078
